id,no_int,LATENT,LATENT2,AVERAGE,o_ffi,oi_bfas,o_bfas,i_bfas,bfasi01,bfasi02,bfasi03,bfasi04,bfasi05,bfasi06,bfasi07,bfasi08,bfasi09,bfasi10,bfaso01,bfaso02,bfaso03,bfaso04,bfaso05,bfaso06,bfaso07,bfaso08,bfaso09,bfaso10,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12
147,-0.24,0.03,0.053,3.575,3.75,3.4,3.5,3.3,4,4,3,3,3,1,3,4,4,4,5,4,4,5,4,1,5,1,1,5,5,5,4,3,3,2,2,4,4,4,4,5
148,0.535,0.242,0.558,4.125,4,4.25,4.5,4,3,5,4,3,5,4,4,4,4,4,5,3,5,5,5,5,3,5,4,5,2,5,3,4,5,4,5,4,3,4,5,4
149,-0.168,-0.01,-0.05,3.608333334,3.666666667,3.55,3.2,3.9,4,4,4,4,4,3,4,4,4,4,3,3,4,5,3,2,4,2,2,4,4,4,3,4,3,4,4,3,3,4,4,4
150,-0.095,-0.072,-0.202,3.266666667,3.583333333,2.95,3.4,2.5,2,2,2,2,5,3,2,1,1,5,5,5,4,5,3,1,4,1,1,5,4,4,5,5,4,2,2,4,5,2,4,2
155,0.586,0.47,0.8,4.441666667,4.583333333,4.3,4.4,4.2,4,4,5,4,3,5,4,5,4,4,4,5,5,5,5,5,3,4,3,5,5,5,5,5,4,5,5,3,4,5,4,5
156,-0.729,-0.395,-0.804,2.7,3,2.4,2.4,2.4,3,1,3,1,2,4,1,3,3,3,1,3,3,1,4,4,3,1,1,3,4,5,2,4,3,2,2,5,1,2,4,2
157,-0.097,-0.056,-0.041,3.533333334,3.416666667,3.65,4,3.3,3,4,3,3,3,3,3,4,3,4,4,5,4,5,4,3,4,3,4,4,3,4,4,3,3,4,2,4,3,3,4,4
158,0.274,0.212,0.428,3.991666667,4.083333333,3.9,3.8,4,4,5,5,5,4,4,1,5,2,5,4,3,3,5,5,1,5,5,2,5,1,5,3,5,5,3,5,5,4,3,5,5
159,0.526,0.244,0.316,4.066666667,4.083333333,4.05,4.2,3.9,4,5,4,4,5,5,2,2,4,4,5,4,2,5,1,5,5,5,5,5,4,4,5,4,1,5,4,4,4,4,5,5
160,-0.135,-0.09,-0.181,3.408333334,3.416666667,3.4,3.7,3.1,3,3,3,4,3,2,3,4,3,3,4,4,4,5,3,3,5,2,4,3,2,4,4,4,3,4,3,4,2,3,4,4
161,-0.411,-0.136,-0.423,3.2,3.5,2.9,2.9,2.9,4,2,4,2,1,2,3,4,3,4,3,4,4,4,1,2,5,2,1,3,5,5,2,3,5,5,3,5,1,1,5,2
162,0.26,0.059,0.083,3.625,3.75,3.5,3.9,3.1,3,3,3,4,3,3,3,4,3,2,4,5,4,5,4,4,2,2,4,5,4,4,4,3,4,3,3,4,4,4,4,4
163,0.126,0.008,0.149,3.691666667,3.583333333,3.8,3.8,3.8,4,4,4,4,4,4,3,4,4,3,3,3,4,5,5,3,4,3,5,3,4,4,3,3,5,3,2,5,4,3,4,3
165,-0.299,-0.171,-0.242,3.266666667,3.333333333,3.2,3.1,3.3,3,4,4,3,3,2,3,3,4,4,3,3,4,5,4,2,3,2,1,4,3,4,3,3,4,4,3,4,2,3,5,2
166,0.103,0.214,0.291,3.933333334,4.166666667,3.7,3.5,3.9,4,4,4,4,4,4,3,4,4,4,3,5,5,5,2,3,4,2,2,4,4,5,5,4,4,2,4,5,2,5,5,5
167,-0.531,-0.182,-0.29,3.3,3.25,3.35,3.3,3.4,3,3,4,2,2,3,5,4,4,4,2,4,4,5,3,2,4,3,3,3,2,5,2,4,4,5,2,4,1,4,5,1
173,-0.056,-0.14,-0.143,3.525,3.25,3.8,3.5,4.1,5,4,4,4,5,2,4,5,4,4,4,4,3,5,2,3,3,2,5,4,4,3,2,4,1,4,3,4,3,4,4,3
193,0.121,0.118,0.258,3.783333334,3.916666667,3.65,3.6,3.7,4,4,4,2,1,5,3,5,5,4,3,4,5,5,4,3,5,1,2,4,5,5,3,3,5,4,1,5,5,4,5,2
198,-0.156,-0.013,-0.238,3.425,3.75,3.1,3.1,3.1,3,3,4,4,2,2,3,4,2,4,3,4,4,4,2,2,4,2,2,4,4,4,4,4,3,4,4,4,3,3,4,4
200,-0.72,-0.511,-0.764,2.641666667,2.583333333,2.7,2.9,2.5,3,2,2,2,3,2,2,3,3,3,3,4,3,2,2,4,3,2,3,3,2,4,2,4,2,2,2,3,2,3,3,2
202,0.219,-0.086,-0.478,3.241666667,3.583333333,2.9,3.2,2.6,3,1,3,2,1,4,2,4,1,5,3,4,5,5,2,4,2,1,1,5,5,5,5,5,3,5,5,5,1,1,2,1
203,0.112,-0.097,-0.172,3.358333334,3.416666667,3.3,3.7,2.9,2,3,3,5,2,4,1,3,4,2,4,4,3,3,4,4,3,4,4,4,3,4,3,3,4,2,4,4,4,3,4,3
205,-0.149,-0.134,-0.146,3.366666667,3.333333333,3.4,3.5,3.3,5,3,3,2,3,2,4,3,4,4,3,4,3,4,4,3,5,2,2,5,3,5,3,3,3,3,2,5,3,3,4,3
206,-0.361,-0.004,-0.291,3.483333334,3.666666667,3.3,3.6,3,4,2,4,4,3,3,3,3,2,2,3,4,5,3,1,2,4,5,5,4,5,5,3,4,2,5,4,4,2,4,4,2
207,-0.013,0.035,0.145,3.733333334,3.666666667,3.8,3.7,3.9,4,3,4,4,5,4,2,4,4,5,4,5,4,4,3,3,3,3,4,4,3,4,5,2,3,2,4,4,3,5,5,4
